男子高校生活,1621.6万,9.1,924,2016年7月5日,"['校园', '日常', '泡面']",21.7万,60.8万,"已完结, 全12话",0,坂口亮：羽多野涉\n中村俊明：野岛健儿\n西原瑠美：洲崎绫\n白鸟勇次郎：铃木达央\n上田明：增田俊树\n台后：西山宏太朗,监督：所俊克\n角色设计：石田千夏\n音响监督：阿部信行\n制作公司：Dream Creation\n音响制作： DAX Production\n动画制作：EMT2
K,1628.9万,9.3,3625,2012年10月4日,"['奇幻', '战斗', '声控']",61万,249.5万,"已完结, 全13话",0,伊佐那社：浪川大辅\n夜刀神狗朗：小野大辅\nNEKO：小松未可子\n周防尊：津田健次郎\n宗像礼司：杉田智和\n栉名安娜：堀江由衣\n草薙出云：樱井孝宏\n十束多多良：梶裕贵\n八田美咲：福山润\n镰本力夫：中村..,原作：GoRA×GoHands\n监督：铃木信吾\n脚本：GoRA（宫泽龙生、壁井有可子、铃木铃、あざの耕平、古桥秀之、高桥弥七郎、来乐零）\n分镜：铃木信吾、金泽洪充\n演出：横峯克昌、金泽洪充、工藤进\n角色设计：铃木信吾\n系列构成：GoRA\n总作画监督：古田诚\n道具设计：岸田隆宏\n机械设计：大久保宏\n色彩设计：齐藤友子\n美术监督：野村正信\n音乐：远藤干雄\n音乐制作：StarChild Records\n音响监督：高桥秀雄、田中亮\nCGI监督：菊地贵纪\n摄影监督：福士享、大泉鉱\n编辑：丹彩子\n动画制作：GoHands
怪怪守护神,1476.7万,8.9,1480,2017年4月2日,"['热血', '战斗', '神魔', '漫画改']",39.4万,73.4万,"已完结, 全12话",0,桐叶：大空直美\n加贺见一也：三瓶由布子\n菊理：久保ユリカ\n近石千里：芝崎典子\n皇素直：大地葉\n黑耀：松井恵理子,导演：倉谷涼一\n人物设定：中原清隆\n总作画监督：桜井正明、中原清隆\n原作：浜田よしかづ\n系列构成：倉谷涼一\n色彩设计：古川篤史\n美术监督：田尻健一\n音乐：高梨康治\n
精灵宝可梦 无印,1484.2万,9.8,2903,1997年4月1日,"['热血', '战斗', '励志', '架空']",57.8万,111.9万,"已完结, 全271话",1,火箭队的喵喵：犬山イヌコ\n小建：小刚：うえだゆうじ\n小霞：飯塚雅弓\n小次郎：三木眞一郎\n武藏：林原めぐみ\n小智：松本梨香\n小智的皮卡丘：大谷育江\n皮卡丘：,脚本：藤田伸三、米村正二、大橋志吉、園田英樹、武上純希、首藤剛志、冨岡淳広\n导演：日高政光\n分镜：岩本保雄\n
黑子的篮球,1313.4万,9.0,1692,2012年4月7日,"['运动', '热血', '声控', '社团']",85.8万,98.6万,"已完结, 全25话",1,黑子哲也：小野賢章\n火神大我：小野友樹\n相田丽子：斎藤千和\n日向顺平：細谷佳正\n小金井慎二：江口拓也\n土田聪史：井上剛\n伊月俊：野島裕史\n笠松幸男：保志総一朗\n黄濑凉太：木村良平,原作：藤巻忠俊\n监督：多田俊介\n脚本：平林佐和子、根元歳三、入江信吾、谷村大四郎、高木登\n分镜：京極義昭、多田俊介、川崎逸朗、澤井幸次、新留俊哉、林直孝、中澤一登、山本靖貴、亀井幹太、寺岡巌、山本秀世\n演出：いまざきいつき、向井雅浩、池田重隆、南康宏、加戸誉夫、亀井幹太、水本葉月、林直孝、駒屋健一郎、新留俊哉、浜名孝行、京極義昭、多田俊介\n音乐：中西亮輔、R・O・N\n人物设定：菊地洋子\n系列构成：高木登\n总作画监督：菊地洋子、後藤隆幸\n作画监督： 中澤一登、小谷杏子、高橋成之、菊地洋子、後藤隆幸、門智昭、小澤円、吉田優子、津島桂、服部憲知、澤田譲治、河野真貴、石井明治、八尋裕子、手塚響平、奥田陽介、湖川友謙、西畑あゆみ、長屋侑利子\n摄影监督：亀井幹太、荒井栄児\n色彩指定：佐藤真由美\n音响监督：三間雅文\n动画制作：Production I.G
无头骑士异闻录,1333.7万,9.6,4244,2010年1月7日,"['奇幻', '日常', '声控', '小说改']",86.1万,137.7万,"已完结, 全26话",0,塞尔提·史特路尔森：泽城美雪\n龙之峰帝人：豊永利行\n纪田正臣：宮野真守\n园原杏里：花澤香菜\n折原临也：神谷浩史\n平和岛静雄：小野大輔、大原桃子\n岸谷新罗：福山潤、悠木碧\n,原作： 成田良悟\n导演： 大森貴弘\n脚本： 高木登、村井さだゆき、太田愛、吉永亜矢、根元歳三\n分镜： 川面真也、梅本唯、大畑清隆、今掛勇、上坪亮樹、名村英敏、福島宏之、大森貴弘、松尾衡、寺東克己\n演出： 川面真也、馬場誠、梅本唯、近藤一英、古谷田順久、市村徹夫、山本天志、松田清、篠幸裕、八瀬祐樹、山﨑みつえ\n音乐： 吉森信\n人物原案： ヤスダスズヒト\n人物设定： 岸田隆宏\n系列构成： 高木登\n美术监督： 伊藤聖\n色彩设计： 宮脇裕美\n总作画监督： 髙田晃\n作画监督： 髙田晃、青野厚司、久木晃
超自然9人组,1179.6万,9.0,2699,2016年10月9日,"['小说改', '智斗', '神魔']",26万,74.3万,"已完结, 全12话",0,我闻悠太：梶裕貴\n成泽稜歌：佐倉綾音\n桥上萨莱伊：石川界人\n相川实优羽：吉田仁美\n澄风桐子：伊藤静\n红之亚里亚：沢城みゆき\n日下部吉柳：谷山紀章\n西园梨梨花：能登麻美子\n森塚骏：柿原徹也,原作：志倉千代丸(オーバーラップ文庫刊)\n导演：イシグロキョウヘイ\n音乐：横山克\n人物原案：pako\n人物设定：高瀬智章\n系列构成：MAGES.・森田と純平\n美术监督：薄井久代\n色彩设计：中島和子\n摄影监督：関谷能弘\n道具设计：道下康太\n剪辑：三嶋章紀\n主题歌作曲：志倉千代丸\n主题歌作词：志倉千代丸\n主题歌演出：いとうかなこ \u002F 亜咲花\n音响监督：明田川仁\n动画制作：A-1 Pictures\n美术设计：塩澤良憲\n副导演：黒木美幸
绯弹的亚里亚 AA,1185.3万,8.0,688,2015年10月6日,"['热血', '校园', '战斗']",44.9万,125.3万,"已完结, 全12话",0,佐佐木 志乃：茅野愛衣\n火野 莱卡：M・A・O\n间宫明里：佐倉綾音\n岛麒麟：悠木碧\n神崎·H·亚里亚：釘宮理恵\n高千穂丽：ブリドカット セーラ 恵美\n爱泽汤汤：麻倉もも\n爱泽夜夜：橋本ちなみ\n夹竹..,原作： 赤松中学 MF文庫J『緋弾のアリアAA』／KADOKAWA刊\n导演： 川畑喬\n脚本： 赤松中学、十川誠志、志茂文彦\n分镜： 川畑喬、徳山太郎、吉川博明、原口浩、藤澤俊幸、博多正寿、江副仁美、藤沢俊幸\n演出： 川畑喬、橋口洋介、岡田堅二朗、野木森達哉、即座誠、浅見松雄、渕上真、佐藤和磨、江副仁美、則座誠\n音乐： 伊賀拓郎\n人物原案： 橘書画子、こぶいち\n人物设定： 大島美和\n系列构成： 志茂文彦\n美术监督： 内藤健\n总作画监督： 久保茉莉子、菊永千里\n作画监督： 久保茉莉子、曾我篤史、菊池政芳、藤田真弓、海保仁美、吉村恵、堀絢菜、平塚知哉、渡辺舞、﨑口さおり、佐藤このみ、冨田佳亨、小宮山由美子、杉本光司、桜井このみ、Park Jaesuk、立口徳孝、飯田光尋、白石悟、飯飼一幸、飯塚葉子、坪田慎太郎、海保仁美、山﨑輝彦、菅野智之、許享準、金二星、中本尚、東島久志、染谷友梨花、川島尚、山岡峻、長尾圭悟、千葉山夏恵、三井麻美、藤沢俊幸\n原画： 沖田博文\n主题歌演出： ナノ\n音响监督： えのもとたかひろ\n制作： ProjectAA（KADOKAWA、flying DOG、藤商事、イン..
请问您今天要来点兔子吗？,1064.6万,9.6,5037,2014年4月10日,"['萌系', '日常', '美食', '治愈']",61.2万,160.5万,"已完结, 全12话",0,保登心爱：佐仓绫音\n香风智乃：水濑祈\n天天座理世：种田梨沙\n宇治松千夜：佐藤聪美\n桐间纱路：内田真礼\n麻耶：徳井青空\n奈津惠：村川梨衣\nBlue Mountain：早见沙织\n香风隆宏：速水奖,原作：Koi（芳文社《まんがタイムきらら MAX》）\n监督：橋本裕之\n脚本：橋本裕之、井上美緒、ふでやすかずゆき\n分镜：川面真也、江口大輔、細田直人、橋本裕之、田中雄一、大島縁、西森章\n演出：松村政輝、江口大輔、土屋浩幸、益山亮司、中山敦史、橋本裕之\n人物设定：奥田陽介\n系列构成：ふでやすかずゆき\n美术监督：平栁悟\n色彩设计：佐藤美由紀\n道具设计：深川可純\n总作画监督：奥田陽介\n音乐：川田瑠夏\n音响监督：明田川仁\n音乐制作：NBCユニバーサル\n摄影监督：峰岸健太郎\n动画制作：WHITE FOX
热诚传说 第二季,1065.2万,8.1,1000,2017年1月8日,"['游戏改', '奇幻', '战斗', '架空']",23.1万,137.2万,"已完结, 全13话",0,史雷：木村良平\n米库里欧：逢坂良太\n艾莉莎：茅野愛衣\n戴泽尔：小野大輔\n扎比达：津田健次郎\n艾多娜：福圓美里\n莱菈：下屋則子\n罗洁：小松未可子\n西蒙：五十嵐裕美,脚本：ufotable\n导演：外崎春雄\n原作：バンダイナムコゲームス\n人物原案：藤島康介、猪股むつみ\n演出：外崎春雄\n分镜：外崎春雄\n音乐：桜庭統、椎名豪\n
